"","cc","mz","rt","i"
"112",115,116.14345784006,1874.94,1361580.22510228
"113",116,116.143359447171,101.167,66788.5665145987
"114",117,116.143343148958,1633.62,758491.659767127
"115",118,116.143795434602,2337.075,5314170.5076746
"116",119,116.14378095,2459.36,4364168.02339745
"117",120,116.143643481872,1932.08,2639604.22697267
"118",121,116.143326499289,1703.64,534878.745771976
"119",122,116.143337983295,1546.46,615279.979742009
"120",123,116.143238838907,1523.155,825901.472924563
"121",124,116.143360032095,1599.61,466889.400290904
"122",125,116.14373805809,2143.77,6572990.96882123
"123",126,116.143821823573,1986.22,301057.78608195
"124",127,116.891175227877,91.911,3100.86094317555
"125",128,117.048302691246,98.4655,7998.05746036376
"126",130,117.069465944232,959.173,7617.21297469438
"127",131,117.146674002435,2543.14,618141.045071879
"128",132,118.08649259885,106.5415,2111163.4092644
"129",133,118.086583712953,90.4135,1060645.81359634
"130",134,118.123689240217,2031.24,74017.7107597747
"131",135,118.12357687996,2018.855,51348.5286939569
"132",136,118.123702877464,2046.49,70418.0379608519
"133",137,119.043975825816,83.738,5113.52977829997
"134",138,119.08554679092,959.666,333219.972388864
"135",139,119.085405941856,900.152,10751.2868161509
"136",140,119.085493486177,986.424,202514.877693957
"137",141,119.08536433472,642.072,7677.95305207364
"138",142,119.085530170091,1041.69,688413.230696657
"139",143,119.085403743064,1345.78,11177.057212493
"140",144,119.085408549118,1076.64,39038.6382369023
"141",145,119.085494607534,1009.44,387887.885368331
"142",146,119.084666637054,1685.64,3492.46167246501
"143",149,119.105887982057,97.502,10227.254535191
"144",150,119.177506242687,961.0465,3039.24452029333
"145",151,120.047737934145,83.531,24768.5751744554
"146",153,120.078544049289,382.668,8462.13533657962
"147",154,120.081336255748,109.4505,30207.8065320808
"148",155,120.088623289319,959.6675,31869.6291374371
"149",156,120.111373994379,104.537,177824.777323963
"150",157,120.111291863097,144.179,25340.2800143345
"151",158,120.966078065745,2625.41,94252.4011642669
"152",159,120.966338239609,92.894,61545.6583255376
"153",160,120.966078602262,2697.05,285501.106589887
"154",161,120.966087172745,2650.92,128402.506088749
"155",162,120.966050264071,7.136,295535.100063142
"156",163,120.965995177743,2667.67,96565.3747951476
"157",164,121.028447783922,904.899,19093.5903684098
"158",165,121.030288436806,1111.685,5004.69900947159
"159",166,121.065074594802,1848.675,60572.7364930089
"160",167,121.100752509458,998.9335,8525.48458174271
"161",168,122.096350600204,2396.09,6822.160438616
"162",169,122.096457608974,2415.105,12743.4459662939
"163",170,122.096362318093,2288.06,10082.5273462199
"164",171,122.096365528162,2320.695,10392.1707297968
"165",172,122.096476221844,2377.09,12749.166533707
"166",173,122.096571082625,2431.98,13286.7097024508
"167",174,122.099964973625,98.4375,3441.36926135426
"168",175,122.983936857404,82.747,2045.81414964142
"169",176,123.055227846277,88.163,33330.7677800459
"170",177,123.055505438816,108.7925,45953.5050488943
"171",178,123.08227755151,123.209,170478.993330682
"172",179,123.091201568124,108.83,20278.6610570654
"173",180,123.092980774715,1993.47,24163.172864683
"174",181,123.092876176732,2011.73,55136.7132996741
"175",182,123.09295730619,1837.67,46770.9368616035
"176",183,123.092864339404,1857.055,76082.4340188562
"177",184,123.093054642529,1770.91,95645.6832728596
"178",186,123.101487689591,98.131,13300.4914902963
"179",187,123.116055530434,1431.43,98337.7971323246
"180",188,123.112915174392,1344.405,36052.926188151
"181",189,123.210935340883,1431.56,1925.87954839071
"182",190,124.040367121535,96.0315,2087.48089476316
"183",191,124.119430853811,1431.185,8592.54580893358
"184",192,124.937619132686,90.664,3051.13816697287
"185",193,124.991097909461,82.5475,2704.34908921455
"186",194,125.060606496669,548.297,6118.16083371333
"187",195,125.098530758114,927.664,13357.4662311726
"188",196,125.099215688032,757.484,8021.54541399933
"189",197,125.131245708283,1344.28,18264.7015571532
"190",198,125.131921301825,1431.56,37576.2939216179
"191",199,126.107117909984,1652.12,2451.0113431346
"192",200,127.040348314414,85.195,14397.6027428069
"193",201,127.111061423125,355.1135,13121.5253537055
"194",202,127.14780809096,1431.435,7289.57057825724
"195",203,128.070700016347,82.678,118855.392784934
"196",204,128.107429168385,109.152,35872.6069793372
"197",205,128.106884786414,1515.44,10137.3596507672
"198",206,128.106362073181,409.382,15936.1258897789
"199",208,128.165819590879,82.661,1174.26635563129
"200",209,128.953532057972,2583.4,316734.017015518
"201",210,129.018631676151,1212.54,3237.32927209812
"202",211,129.05572116493,959.421,7468.79692692683
"203",212,129.059919436832,887.6495,3440.65490191578
"204",213,129.075117825161,88.1635,30917.7150323302
"205",214,129.737684848805,1652.1,7413.34484725699
"206",215,129.952855944222,1651.83,11056.4846730331
"207",216,130.050119859854,87.9135,306620.586566084
"208",218,130.162303993185,1651.87,13690.6978710584
"209",220,131.051627857244,88.1615,17793.3820524182
"210",221,131.070853853495,648.814,5176.33659582488
"211",222,131.118033281615,104.825,370462.327783149
"212",223,131.117513704005,310.978,10750.4888429127
"213",224,131.117522520565,214.2905,11234.5471049139
"214",225,131.117734740765,160.434,61486.2609335913
"215",226,131.117631004424,196.691,38277.5749722419
"216",227,131.117734310646,143.8575,159577.851598157
"217",228,131.117506679755,287.7265,33299.1793253708
"218",229,131.117562253538,230.115,38218.4240600679
"219",230,131.117637422592,174.938,66208.7854628094
"220",231,131.117563158063,243.699,23827.9922252058
"221",232,132.069842466177,85.909,10459.5405928704
"222",233,132.113036606323,104.58,25604.7813866629
"223",234,132.12081809092,97.219,14732.7046741971
"224",235,132.138307089878,1588.23,211127.81646265
"225",236,132.138349228204,1546.965,362330.054288906
"226",237,132.138290281466,1660.875,237269.155102929
"227",238,132.138475709343,2543.39,965868.710799131
